,character,character_HTML,pinyin_HTML,english_gloss,example1,example2,example3,example4,example5,chinese_sentence_HTML,english_translation,pinyin_sentence,stroke_order_image,char_set_number,audio_full_path,pinyin,pinyin_nfd,tone
611,桔,"<span class=""tone2"">桔</span>","<span class=""tone2"">jú</span><!--ju-->",mandarin orange; tangarine,"<span class=""tone2"">桔</span><span class=""tone5"">子</span>{{c1:: － <span class=""tone2"">jú</span><span class=""tone5"">zi</span> － mandarin orange; tangarine}}",,,,,"我喜欢吃<span class=""highlight"">桔</span>子。",I like to eat tangarines.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26708.gif"" alt=""桔""style=""width:75px;height:75px;""/>",33 CharSet,data/sounds/oddcast-279ffb52-fec66286-450c9bac-397620fd-d1952d22.wav,jú,jú,Tone 2 ( ́)
612,举,"<span class=""tone3"">举</span>","<span class=""tone3"">jǔ</span><!--ju-->",lift; raise; hold up,"<span class=""tone3"">举</span><span class=""tone2"">行</span>{{c1:: － <span class=""tone3"">jǔ</span><span class=""tone2"">xíng</span> － to hold (a meeting, etc)}}","<span class=""tone3"">举</span><span class=""tone1"">杯</span>{{c1:: － <span class=""tone3"">jǔ</span><span class=""tone1"">bēi</span> － raise glass; propose a toast}}","<span class=""tone3"">选</span><span class=""tone3"">举</span>{{c1:: － <span class=""tone3"">xuǎn</span><span class=""tone3"">jǔ</span> － elect; election}}","<span class=""tone3"">举</span><span class=""tone3"">手</span>{{c1:: － <span class=""tone3"">jǔ</span><span class=""tone3"">shǒu</span> － raise hand}}",,"他把孩子<span class=""highlight"">举</span>了起来。",He lifted up the child.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20030.gif"" alt=""举"" style=""width:75px;height:75px;"">",33 CharSet,data/sounds/oddcast-ba8a8e78-9ad2121f-89628195-a696a169-b98c90f2.wav,jǔ,jǔ,Tone 3 ( ̌)
613,句,"<span class=""tone4"">句</span>","<span class=""tone4"">jù</span><!--ju-->",sentence (literary); {MW: sentences},"<span class=""tone1"">一</span><span class=""tone4"">句</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">jù</span> － a line of verse; a sentence}}","<span class=""tone4"">句</span><span class=""tone5"">子</span>{{c1:: － <span class=""tone4"">jù</span><span class=""tone5"">zi</span> － sentence}}","<span class=""tone2"">名</span><span class=""tone4"">句</span>{{c1:: － <span class=""tone2"">míng</span><span class=""tone4"">jù</span> － well known line}}","<span class=""tone2"">俳</span><span class=""tone4"">句</span>{{c1:: － <span class=""tone2"">pái</span><span class=""tone4"">jù</span> － haiku}}",,"我来说几<span class=""highlight"">句</span>。",Let me say a few words.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21477.gif"" alt=""句""style=""width:75px;height:75px;""/>",33 CharSet,data/sounds/oddcast-995bc606-a8bd2883-a8e3ef63-143de36d-098aceee.wav,jù,jù,Tone 4 ( ̀)
614,局,"<span class=""tone2"">局</span>","<span class=""tone2"">jú</span><!--ju-->","bureau; part, portion; {MW} game, set, inning; chessboard; situation; state of affairs","<span class=""tone2"">邮</span><span class=""tone2"">局</span>{{c1:: － <span class=""tone2"">yóu</span><span class=""tone2"">jú</span> － post office}}","<span class=""tone2"">局</span><span class=""tone3"">长</span>{{c1:: － <span class=""tone2"">jú</span><span class=""tone3"">zhǎng</span> － bureau chief}}",,,,"他在外贸<span class=""highlight"">局</span>工作。",He's working in the foreign trade office.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/23616.gif"" alt=""局""style=""width:75px;height:75px;""/>",33 CharSet,data/sounds/oddcast-e8890749-1f0b893d-1414cd68-3575c8ba-47720f9d.wav,jú,jú,Tone 2 ( ́)
615,够,"<span class=""tone4"">够</span>","<span class=""tone4"">gòu</span><!--gou-->",enough; sufficient; adequate,"<span class=""tone2"">能</span><span class=""tone4"">够</span>{{c1:: － <span class=""tone2"">néng</span><span class=""tone4"">gòu</span> － can; be able to; be capable of}}","<span class=""tone4"">不</span><span class=""tone4"">够</span>{{c1:: － <span class=""tone4"">bù</span><span class=""tone4"">gòu</span> － not enough}}","<span class=""tone2"">足</span><span class=""tone4"">够</span>{{c1:: － <span class=""tone2"">zú</span><span class=""tone4"">gòu</span> － enough; ample suficient}}",,,"你抢<span class=""highlight"">够</span>不<span class=""highlight"">够</span>？",Do you have enough money?,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22815.gif"" alt=""够""style=""width:75px;height:75px;""/>",33 CharSet,data/sounds/oddcast-5990dc96-a51cf09a-d1abbc0b-16086f79-85aa39c0.wav,gòu,gòu,Tone 4 ( ̀)
616,附,"<span class=""tone4"">附</span>","<span class=""tone4"">fù</span><!--fu-->",near to,"<span class=""tone4"">附</span><span class=""tone4"">近</span>{{c1:: － <span class=""tone4"">fù</span><span class=""tone4"">jìn</span> － nearby}}","<span class=""tone4"">附</span><span class=""tone1"">加</span>{{c1:: － <span class=""tone4"">fù</span><span class=""tone1"">jiā</span> － add; attach}}",,,,"这是<span class=""highlight"">附</span>近最高的山。",This is the highest mountain in the nearby.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/38468.gif"" alt=""附""style=""width:75px;height:75px;""/>",33 CharSet,data/sounds/oddcast-c2359b1f-2ab0b494-d5092d08-8290fbdc-0e3068bb.wav,fù,fù,Tone 4 ( ̀)
617,府,"<span class=""tone3"">府</span>","<span class=""tone3"">fǔ</span><!--fu-->",seat of government; government office,"<span class=""tone4"">政</span><span class=""tone3"">府</span>{{c1:: － <span class=""tone4"">zhèng</span><span class=""tone3"">fǔ</span> － government}}",,,,,"政<span class=""highlight"">府</span>即将推出新政策。",The government will put out a new policy soon.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/24220.gif"" alt=""府""style=""width:75px;height:75px;""/>",33 CharSet,data/sounds/oddcast-226bf905-cff14187-63f9bc85-cf615dce-3cda4d3f.wav,fǔ,fǔ,Tone 3 ( ̌)
618,离,"<span class=""tone2"">离</span>","<span class=""tone2"">lí</span><!--li-->",leave; part from; from (in giving distances),"<span class=""tone2"">离</span><span class=""tone1"">开</span>{{c1:: － <span class=""tone2"">lí</span><span class=""tone1"">kāi</span> － to leave}}","<span class=""tone2"">离</span><span class=""tone2"">别</span>{{c1:: － <span class=""tone2"">lí</span><span class=""tone2"">bié</span> － bid farewell}}","A<span class=""tone2"">离</span>B<span class=""tone3"">很</span><span class=""tone3"">远</span>{{c1:: － A <span class=""tone2"">lí</span> B <span class=""tone3"">hěn</span><span class=""tone3"">yuǎn</span> － A is very far from B}}",,,"车站<span class=""highlight"">离</span>这儿只有几步路。",The bus stop is just a few steps away from here.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/31163.gif"" alt=""离""style=""width:75px;height:75px;""/>",33 CharSet,data/sounds/oddcast-90e4c07d-58d29afd-fa6d6bbe-84345a11-3a3308bf.wav,lí,lí,Tone 2 ( ́)
619,遇,"<span class=""tone4"">遇</span>","<span class=""tone4"">yù</span><!--yu-->",to encounter; to meet; to treat; to receive,"<span class=""tone4"">待</span><span class=""tone4"">遇</span>{{c1:: － <span class=""tone4"">dài</span><span class=""tone4"">yù</span> － treatment; reception}}","<span class=""tone4"">遇</span><span class=""tone4"">到</span>{{c1:: － <span class=""tone4"">yù</span><span class=""tone4"">dào</span> － to run into; to encounter; to come across}}","<span class=""tone4"">遇</span><span class=""tone4"">害</span>{{c1:: － <span class=""tone4"">yù</span><span class=""tone4"">hài</span> － to be murdered}}",,,"我二人在图书馆偶然相<span class=""highlight"">遇</span>。",The two of us ran into eachother at the library.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/36935.gif"" alt=""遇""style=""width:75px;height:75px;""/>",33 CharSet,data/sounds/oddcast-a9867c39-9e898cac-7106bc08-524cd94d-386523c3.wav,yù,yù,Tone 4 ( ̀)
620,脱,"<span class=""tone1"">脱</span>","<span class=""tone1"">tuō</span><!--tuo-->",undress; take off; cast off,"<span class=""tone1"">脱</span><span class=""tone4"">下</span>{{c1:: － <span class=""tone1"">tuō</span><span class=""tone4"">xià</span> － to take off (clothing)}}","<span class=""tone4"">挣</span><span class=""tone1"">脱</span>{{c1:: － <span class=""tone4"">zhèng</span><span class=""tone1"">tuō</span> － to throw off; to struggle free of}}",,,,"门的把手<span class=""highlight"">脱</span>落了。",The door handle has come off.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/33073.gif"" alt=""脱""style=""width:75px;height:75px;""/>",33 CharSet,data/sounds/oddcast-8a3eb406-4fc1371d-ef86fae7-d432874f-b6b43ee9.wav,tuō,tuō,Tone 1 ( ̄)
621,建,"<span class=""tone4"">建</span>","<span class=""tone4"">jiàn</span><!--jian-->",build; construct; establish; found,"<span class=""tone4"">建</span><span class=""tone4"">设</span>{{c1:: － <span class=""tone4"">jiàn</span><span class=""tone4"">shè</span> － build; construct}}","<span class=""tone4"">建</span><span class=""tone4"">立</span>{{c1:: － <span class=""tone4"">jiàn</span><span class=""tone4"">lì</span> － establish; set up; found}}","<span class=""tone4"">建</span><span class=""tone4"">议</span>{{c1:: － <span class=""tone4"">jiàn</span><span class=""tone4"">yì</span> － propose; suggest; proposal; suggestion}}","<span class=""tone4"">建</span><span class=""tone4"">造</span>{{c1:: － <span class=""tone4"">jiàn</span><span class=""tone4"">zào</span> － to build; construct}}",,"我<span class=""highlight"">建</span>议你看一下交通规则。",I suggest that you follow traffic regulations,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/24314.gif"" alt=""建""style=""width:75px;height:75px;""/>",34 CharSet,data/sounds/oddcast-14431742-b079c716-30f650fa-c0fff1e6-33603278.wav,jiàn,jiàn,Tone 4 ( ̀)
622,健,"<span class=""tone4"">健</span>","<span class=""tone4"">jiàn</span><!--jian-->",healthy; strong; strenghten; toughen; be good at,"<span class=""tone4"">健</span><span class=""tone2"">儿</span>{{c1:: － <span class=""tone4"">jiàn</span><span class=""tone2"">ér</span> － good athlete}}","<span class=""tone4"">健</span><span class=""tone1"">康</span>{{c1:: － <span class=""tone4"">jiàn</span><span class=""tone1"">kāng</span> － health; healthy}}","<span class=""tone4"">健</span><span class=""tone3"">保</span>{{c1:: － <span class=""tone4"">jiàn</span><span class=""tone3"">bǎo</span> － health insurance}}","<span class=""tone4"">健</span><span class=""tone1"">身</span>{{c1:: － <span class=""tone4"">jiàn</span><span class=""tone1"">shēn</span> － to keep fit}}",,"她做了<span class=""highlight"">健</span>身教练。",She's become a fitness coach.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20581.gif"" alt=""健""style=""width:75px;height:75px;""/>",34 CharSet,data/sounds/oddcast-0b96df72-0759ca09-62d89441-13269105-30ff4311.wav,jiàn,jiàn,Tone 4 ( ̀)
623,庭,"<span class=""tone2"">庭</span>","<span class=""tone2"">tíng</span><!--ting-->",hall; front courtyard; court of law,"<span class=""tone1"">家</span><span class=""tone2"">庭</span>{{c1:: － <span class=""tone1"">jiā</span><span class=""tone2"">tíng</span> － family}}","<span class=""tone3"">法</span><span class=""tone2"">庭</span>{{c1:: － <span class=""tone3"">fǎ</span><span class=""tone2"">tíng</span> － court; tribunal}}","<span class=""tone2"">庭</span><span class=""tone4"">院</span>{{c1:: － <span class=""tone2"">tíng</span><span class=""tone4"">yuàn</span> － courtyard}}","<span class=""tone1"">出</span><span class=""tone2"">庭</span>{{c1:: － <span class=""tone1"">chū</span><span class=""tone2"">tíng</span> － appear in court}}",,"他的<span class=""highlight"">庭</span>院很漂亮。",His yard is very beautiful.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/24237.gif"" alt=""庭""style=""width:75px;height:75px;""/>",34 CharSet,data/sounds/oddcast-5453f745-ba817156-956eabba-9419a020-0e5c3091.wav,tíng,tíng,Tone 2 ( ́)
624,挺,"<span class=""tone3"">挺</span>","<span class=""tone3"">tǐng</span><!--ting-->",straight; erect; stiff; stick out; endure; extraordinary; prominent,"<span class=""tone3"">挺</span><span class=""tone4"">立</span>{{c1:: － <span class=""tone3"">tǐng</span><span class=""tone4"">lì</span> － to stand upright; to stand firm}}","<span class=""tone3"">挺</span><span class=""tone3"">好</span>{{c1:: － <span class=""tone3"">tǐng</span><span class=""tone3"">hǎo</span> － very good}}","<span class=""tone3"">挺</span><span class=""tone4"">进</span>{{c1:: － <span class=""tone3"">tǐng</span><span class=""tone4"">jìn</span> － boldy drive on}}",,,"哪儿的饭食<span class=""highlight"">挺</span>不错。",The food here is pretty good.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25402.gif"" alt=""挺""style=""width:75px;height:75px;""/>",34 CharSet,data/sounds/oddcast-0c73a4f1-ab46ea89-1e463ea7-53044c67-432e3ae3.wav,tǐng,tǐng,Tone 3 ( ̌)
625,消,"<span class=""tone1"">消</span>","<span class=""tone1"">xiāo</span><!--xiao-->",disappear; vanish; cause to vanish; eliminate; remove; while away (time),"<span class=""tone3"">取</span><span class=""tone1"">消</span>{{c1:: － <span class=""tone3"">qǔ</span><span class=""tone1"">xiāo</span> － to cancel}}","<span class=""tone1"">消</span><span class=""tone4"">化</span>{{c1:: － <span class=""tone1"">xiāo</span><span class=""tone4"">huà</span> － to digest (food); to think over and absorb}}","<span class=""tone1"">消</span><span class=""tone5"">息</span>{{c1:: － <span class=""tone1"">xiāo</span><span class=""tone5"">xi</span> － news; information}}","<span class=""tone1"">消</span><span class=""tone1"">失</span>{{c1:: － <span class=""tone1"">xiāo</span><span class=""tone1"">shī</span> － disappear; vanish; disolve}}","<span class=""tone1"">消</span><span class=""tone2"">除</span>{{c1:: － <span class=""tone1"">xiāo</span><span class=""tone2"">chú</span> － eliminate; dispel; remove; clear up}}","太阳<span class=""highlight"">消</span>失在云层后面。",The sun is disappearing behind the clouds.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/28040.gif"" alt=""消""style=""width:75px;height:75px;""/>",34 CharSet,data/sounds/oddcast-a474c271-5c497c40-a39255d7-e0ba9586-bf3f38c8.wav,xiāo,xiāo,Tone 1 ( ̄)
626,息,"<span class=""tone1"">息</span>","<span class=""tone1"">xī</span><!--xi-->",breath; news; cease; stop; rest; interest (financial),"<span class=""tone1"">消</span><span class=""tone5"">息</span>{{c1:: － <span class=""tone1"">xiāo</span><span class=""tone5"">xi</span> － news; information}}","<span class=""tone1"">休</span><span class=""tone5"">息</span>{{c1:: － <span class=""tone1"">xiū</span><span class=""tone5"">xi</span> － have a rest}}","<span class=""tone4"">气</span><span class=""tone1"">息</span>{{c1:: － <span class=""tone4"">qì</span><span class=""tone1"">xī</span> － breath; flavour; smell}}","<span class=""tone4"">利</span><span class=""tone1"">息</span>{{c1:: － <span class=""tone4"">lì</span><span class=""tone1"">xī</span> － interest (on investment)}}","<span class=""tone1"">出</span><span class=""tone5"">息</span>{{c1:: － <span class=""tone1"">chū</span><span class=""tone5"">xi</span> － future prospects; profit}}","她听到了一个惊人的消<span class=""highlight"">息</span>。",She's heard some shocking news.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/24687.gif"" alt=""息""style=""width:75px;height:75px;""/>",34 CharSet,data/sounds/oddcast-2a74b06e-fb03ce42-38fb4f92-0882e243-bad732ca.wav,xī,xī,Tone 1 ( ̄)
627,留,"<span class=""tone2"">留</span>","<span class=""tone2"">líu</span><!--liu-->",stay; remain; leave (behind),"<span class=""tone2"">留</span><span class=""tone4"">念</span>{{c1:: － <span class=""tone2"">liú</span><span class=""tone4"">niàn</span> － keep as a souvenir}}","<span class=""tone2"">留</span><span class=""tone2"">学</span><span class=""tone5"">生</span>{{c1:: － <span class=""tone2"">liú</span><span class=""tone2"">xué</span><span class=""tone5"">sheng</span> － international students}}","<span class=""tone2"">留</span><span class=""tone4"">下</span>{{c1:: － <span class=""tone2"">liú</span><span class=""tone4"">xià</span> － to leave behind}}",,,"她在沙滩上<span class=""highlight"">留</span>下了一串脚印。",She left a trail of footprints on the beach.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/30041.gif"" alt=""留""style=""width:75px;height:75px;""/>",34 CharSet,data/sounds/oddcast-7a34dea2-af997f57-b599e68c-ccfef387-c3e892b9.wav,líu,líu,Tone 2 ( ́)
628,派,"<span class=""tone4"">派</span>","<span class=""tone4"">pài</span><!--pai-->","faction; river branch; send; dispatch; {MW} political groups, schools of thought, etc.","<span class=""tone4"">派</span><span class=""tone2"">别</span>{{c1:: － <span class=""tone4"">pài</span><span class=""tone2"">bié</span> － faction; sect; group}}","<span class=""tone4"">派</span><span class=""tone4"">系</span>{{c1:: － <span class=""tone4"">pài</span><span class=""tone4"">xì</span> － faction (in a politcal party)}}","<span class=""tone4"">派</span><span class=""tone1"">兵</span>{{c1:: － <span class=""tone4"">pài</span><span class=""tone1"">bīng</span> － dispatch troops}}","<span class=""tone4"">右</span><span class=""tone4"">派</span>{{c1:: － <span class=""tone4"">yòu</span><span class=""tone4"">pài</span> － the ""Right""; ""Right Wing""}}",,"国会议员在这个问题上分成两<span class=""highlight"">派</span>。",The congressmen were divided into two opposing groups over this issue.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/27966.gif"" alt=""派""style=""width:75px;height:75px;""/>",34 CharSet,data/sounds/oddcast-ccd46965-7dcbe3bf-8d6f674b-ddad349a-e36eee35.wav,pài,pài,Tone 4 ( ̀)
629,展,"<span class=""tone3"">展</span>","<span class=""tone3"">zhǎn</span><!--zhan-->",open up; spread out; put to good use; postpone,"<span class=""tone1"">发</span><span class=""tone3"">展</span>{{c1:: － <span class=""tone1"">fā</span><span class=""tone3"">zhǎn</span> － develop (economy, resources, etc)}}","<span class=""tone3"">展</span><span class=""tone1"">出</span>{{c1:: － <span class=""tone3"">zhǎn</span><span class=""tone1"">chū</span> － to put on display}}","<span class=""tone3"">展</span><span class=""tone1"">开</span>{{c1:: － <span class=""tone3"">zhǎn</span><span class=""tone1"">kāi</span> － spread out; unfold; open up}}","<span class=""tone4"">进</span><span class=""tone3"">展</span>{{c1:: － <span class=""tone4"">jìn</span><span class=""tone3"">zhǎn</span> － to make progress}}",,"工作进<span class=""highlight"">展</span>得很顺利。",Work is progressing smoothly.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/23637.gif"" alt=""展""style=""width:75px;height:75px;""/>",34 CharSet,data/sounds/oddcast-0481fdce-416f9ab5-2d25e45d-fa8a33a4-65ddb113.wav,zhǎn,zhǎn,Tone 3 ( ̌)
630,喂,"<span class=""tone4"">喂</span>","<span class=""tone4"">wèi</span><!--wei-->","hello; hey; to feed (an animal, baby, invalid)","<span class=""tone4"">喂</span><span class=""tone2"">食</span>{{c1:: － <span class=""tone4"">wèi</span><span class=""tone2"">shí</span> － feed}}","<span class=""tone4"">喂</span><span class=""tone3"">奶</span>{{c1:: － <span class=""tone4"">wèi</span><span class=""tone3"">nǎi</span> － breast-feed; suckle; nurse}}",,,,"<span class=""highlight"">喂</span>，请问，你的妈妈在那里吗？","Hello, is your mother there?",,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21890.gif"" alt=""喂""style=""width:75px;height:75px;""/>",34 CharSet,data/sounds/oddcast-bb45e4ba-4a150d4d-b60a1552-8b77dc4f-f3e67f95.wav,wèi,wèi,Tone 4 ( ̀)
631,候,"<span class=""tone4"">候</span>","<span class=""tone4"">hòu</span><!--hou-->",wait for; time; condition; state,"<span class=""tone2"">时</span><span class=""tone5"">候</span>{{c1:: － <span class=""tone2"">shí</span><span class=""tone5"">hou</span> － duration of time; point in time}}","<span class=""tone4"">气</span><span class=""tone4"">候</span>{{c1:: － <span class=""tone4"">qì</span><span class=""tone4"">hòu</span> － climate (lit and fig)}}","<span class=""tone4"">问</span><span class=""tone4"">候</span>{{c1:: － <span class=""tone4"">wèn</span><span class=""tone4"">hòu</span> － send one's respects; extend greetings}}","<span class=""tone3"">等</span><span class=""tone4"">候</span>{{c1:: － <span class=""tone3"">děng</span><span class=""tone4"">hòu</span> － to wait}}","<span class=""tone4"">候</span><span class=""tone3"">选</span>{{c1:: － <span class=""tone4"">hòu</span><span class=""tone3"">xuǎn</span> － candidate}}","他亲切地问<span class=""highlight"">候</span>我。",He sent me his warm regards.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20505.gif"" alt=""候""style=""width:75px;height:75px;""/>",34 CharSet,data/sounds/oddcast-686b4dfd-71f5f097-c442b9b4-7cdbd584-fb4f4c3a.wav,hòu,hòu,Tone 4 ( ̀)
632,齐,"<span class=""tone2"">齐</span>","<span class=""tone2"">qí</span><!--qi-->",neat; tidy; all together; simultaneous,"<span class=""tone3"">整</span><span class=""tone2"">齐</span>{{c1:: － <span class=""tone3"">zhěng</span><span class=""tone2"">qí</span> － in good order; neat; tidy}}","<span class=""tone2"">齐</span><span class=""tone2"">全</span>{{c1:: － <span class=""tone2"">qí</span><span class=""tone2"">quán</span> － complete; all in readiness}}","<span class=""tone1"">一</span><span class=""tone2"">齐</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone2"">qí</span> － at the same time; simultaneously}}",,,"男女老少<span class=""highlight"">齐</span>上阵。","Men and women, old and young, all pitched into the work.",,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/40784.gif"" alt=""齐""style=""width:75px;height:75px;""/>",34 CharSet,data/sounds/oddcast-edccefd8-fde70bb2-67e050f0-3106a74f-543a7eed.wav,qí,qí,Tone 2 ( ́)
633,挤,"<span class=""tone3"">挤</span>","<span class=""tone3"">jǐ</span><!--ji-->",to squeeze; to crowd/cram in; to press; to find time in a schedule,"<span class=""tone1"">拥</span><span class=""tone3"">挤</span>{{c1:: － <span class=""tone1"">yōng</span><span class=""tone3"">jǐ</span> － to be crowded/packed}}","<span class=""tone3"">挤</span><span class=""tone3"">奶</span>{{c1:: － <span class=""tone3"">jǐ</span><span class=""tone3"">nǎi</span> － to milk (a cow)}}","<span class=""tone2"">排</span><span class=""tone3"">挤</span>{{c1:: － <span class=""tone2"">pái</span><span class=""tone3"">jǐ</span> － push aside}}","<span class=""tone3"">挤</span><span class=""tone3"">满</span>{{c1:: － <span class=""tone3"">jǐ</span><span class=""tone3"">mǎn</span> － filled to overflowing}}","<span class=""tone3"">挤</span><span class=""tone4"">进</span>{{c1:: － <span class=""tone3"">jǐ</span><span class=""tone4"">jìn</span> － to force one's way into; to break in}}","看台上<span class=""highlight"">挤</span>满了观众。",Spectators crowded the bleachers.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25380.gif"" alt=""挤""style=""width:75px;height:75px;""/>",34 CharSet,data/sounds/oddcast-d3bd9f0f-2ca8a30c-396a7384-db424080-ecd40bca.wav,jǐ,jǐ,Tone 3 ( ̌)
634,济,"<span class=""tone4"">济</span>","<span class=""tone4"">jì</span><!--ji-->","help; aid; relieve; cross (a river, etc.)","<span class=""tone1"">经</span><span class=""tone4"">济</span>{{c1:: － <span class=""tone1"">jīng</span><span class=""tone4"">jì</span> － economy}}","<span class=""tone4"">救</span><span class=""tone4"">济</span>{{c1:: － <span class=""tone4"">jiù</span><span class=""tone4"">jì</span> － extend relief to; relieve the distress of}}",,,,"联合国对难民进行救<span class=""highlight"">济</span>。",The United Nations is providing relief to the refugees.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/27982.gif"" alt=""济""style=""width:75px;height:75px;""/>",34 CharSet,data/sounds/oddcast-1e5e1b2c-b49cb16a-663dedbb-c7ec7c5f-312c5f86.wav,jì,jì,Tone 4 ( ̀)
635,黑,"<span class=""tone1"">黑</span>","<span class=""tone1"">hēi</span><!--hei-->",black; dark; secret; shady; wicked,"<span class=""tone1"">黑</span><span class=""tone4"">色</span>{{c1:: － <span class=""tone1"">hēi</span><span class=""tone4"">sè</span> － the colour black}}","<span class=""tone1"">黑</span><span class=""tone3"">板</span>{{c1:: － <span class=""tone1"">hēi</span><span class=""tone3"">bǎn</span> － black board}}","<span class=""tone1"">黑</span><span class=""tone4"">市</span>{{c1:: － <span class=""tone1"">hēi</span><span class=""tone4"">shì</span> － black market}}","<span class=""tone1"">黑</span><span class=""tone2"">白</span>{{c1:: － <span class=""tone1"">hēi</span><span class=""tone2"">bái</span> － black and white; right and wrong}}",,"她的头发很<span class=""highlight"">黑</span>。",Her hair is very black.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/40657.gif"" alt=""黑""style=""width:75px;height:75px;""/>",34 CharSet,data/sounds/oddcast-9bc4624e-c6f06d3a-4897214a-faa35fab-8d06eb4b.wav,hēi,hēi,Tone 1 ( ̄)
636,增,"<span class=""tone1"">增</span>","<span class=""tone1"">zēng</span><!--zeng-->",increase; gain; add,"<span class=""tone1"">增</span><span class=""tone1"">加</span>{{c1:: － <span class=""tone1"">zēng</span><span class=""tone1"">jiā</span> － to increase}}","<span class=""tone1"">增</span><span class=""tone3"">长</span>{{c1:: － <span class=""tone1"">zēng</span><span class=""tone3"">zhǎng</span> － to grow/increase}}","<span class=""tone1"">增</span><span class=""tone2"">强</span>{{c1:: － <span class=""tone1"">zēng</span><span class=""tone2"">qiáng</span> － to strengthen/enhance}}","<span class=""tone1"">增</span><span class=""tone3"">产</span>{{c1:: － <span class=""tone1"">zēng</span><span class=""tone3"">chǎn</span> － increase production}}",,"公司的收益<span class=""highlight"">增</span>加了。",The company's income has increased.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22686.gif"" alt=""增""style=""width:75px;height:75px;""/>",34 CharSet,data/sounds/oddcast-3c30b1fe-e71d037d-96e0919d-b9ccdeb7-b2bddf28.wav,zēng,zēng,Tone 1 ( ̄)
637,晚,"<span class=""tone3"">晚</span>","<span class=""tone3"">wǎn</span><!--wan-->",evening; night; late,"<span class=""tone3"">晚</span><span class=""tone4"">饭</span>{{c1:: － <span class=""tone3"">wǎn</span><span class=""tone4"">fàn</span> － dinner}}","<span class=""tone3"">晚</span><span class=""tone5"">上</span>{{c1:: － <span class=""tone3"">wǎn</span><span class=""tone5"">shang</span> － evening}}","<span class=""tone3"">晚</span><span class=""tone4"">会</span>{{c1:: － <span class=""tone3"">wǎn</span><span class=""tone4"">huì</span> － evening party}}",,,"朋友们参加了今<span class=""highlight"">晚</span>的舞会。",My friends went to the dance tonight.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26202.gif"" alt=""晚""style=""width:75px;height:75px;""/>",34 CharSet,data/sounds/oddcast-f72782fa-2168cde1-90e149ad-98e5db7f-100ddc3a.wav,wǎn,wǎn,Tone 3 ( ̌)
638,像,"<span class=""tone4"">像</span>","<span class=""tone4"">xiàng</span><!--xiang-->",to resemble; to be like; to look as if; appearance,"<span class=""tone3"">好</span><span class=""tone4"">像</span>{{c1:: － <span class=""tone3"">hǎo</span><span class=""tone4"">xiàng</span> － to seem like}}","<span class=""tone3"">想</span><span class=""tone4"">像</span>{{c1:: － <span class=""tone3"">xiǎng</span><span class=""tone4"">xiàng</span> － imagination}}",,,,"姐妹俩长得很<span class=""highlight"">像</span>。",The sister look very much alike.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20687.gif"" alt=""像""style=""width:75px;height:75px;""/>",34 CharSet,data/sounds/oddcast-38dff475-5ce246e7-2e8d375e-ab165df7-58544715.wav,xiàng,xiàng,Tone 4 ( ̀)
