一	"<span class=""tone1"">一</span>"	"<span class=""tone1"">yī</span><!--yi-->"	one	"<span class=""tone1"">一</span><span class=""tone4"">个</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">gè</span> － one of}}"	"<span class=""tone1"">一</span><span class=""tone3"">本</span><span class=""tone1"">书</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone3"">běn</span><span class=""tone1"">shū</span> － a book}}"	"<span class=""tone1"">一</span><span class=""tone4"">次</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">cì</span> － once}}"	"<span class=""tone4"">第</span><span class=""tone1"">一</span>{{c1:: － <span class=""tone4"">dì</span><span class=""tone1"">yī</span> － first}}"		"<span class=""highlight"">一</span>二三。"	One two three.	yī èr sān 。<!--yi er san 。-->	[sound:oddcast-6401d539-04374423-203ccc64-a4a3e1fb-79a85831.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/19968.gif"" alt=""一"" style=""width:75px;height:75px;"">"	1 CharSet
息	"<span class=""tone1"">息</span>"	"<span class=""tone1"">xī</span><!--xi-->"	breath; news; cease; stop; rest; interest (financial)	"<span class=""tone1"">消</span><span class=""tone5"">息</span>{{c1:: － <span class=""tone1"">xiāo</span><span class=""tone5"">xi</span> － news; information}}"	"<span class=""tone1"">休</span><span class=""tone5"">息</span>{{c1:: － <span class=""tone1"">xiū</span><span class=""tone5"">xi</span> － have a rest}}"	"<span class=""tone4"">气</span><span class=""tone1"">息</span>{{c1:: － <span class=""tone4"">qì</span><span class=""tone1"">xī</span> － breath; flavour; smell}}"	"<span class=""tone4"">利</span><span class=""tone1"">息</span>{{c1:: － <span class=""tone4"">lì</span><span class=""tone1"">xī</span> － interest (on investment)}}"	"<span class=""tone1"">出</span><span class=""tone5"">息</span>{{c1:: － <span class=""tone1"">chū</span><span class=""tone5"">xi</span> － future prospects; profit}}"	"她听到了一个惊人的消<span class=""highlight"">息</span>。"	She's heard some shocking news.		[sound:oddcast-2a74b06e-fb03ce42-38fb4f92-0882e243-bad732ca.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/24687.gif"" alt=""息""style=""width:75px;height:75px;""/>"	34 CharSet
留	"<span class=""tone2"">留</span>"	"<span class=""tone2"">líu</span><!--liu-->"	stay; remain; leave (behind)	"<span class=""tone2"">留</span><span class=""tone4"">念</span>{{c1:: － <span class=""tone2"">liú</span><span class=""tone4"">niàn</span> － keep as a souvenir}}"	"<span class=""tone2"">留</span><span class=""tone2"">学</span><span class=""tone5"">生</span>{{c1:: － <span class=""tone2"">liú</span><span class=""tone2"">xué</span><span class=""tone5"">sheng</span> － international students}}"	"<span class=""tone2"">留</span><span class=""tone4"">下</span>{{c1:: － <span class=""tone2"">liú</span><span class=""tone4"">xià</span> － to leave behind}}"			"她在沙滩上<span class=""highlight"">留</span>下了一串脚印。"	She left a trail of footprints on the beach.		[sound:oddcast-7a34dea2-af997f57-b599e68c-ccfef387-c3e892b9.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/30041.gif"" alt=""留""style=""width:75px;height:75px;""/>"	34 CharSet
派	"<span class=""tone4"">派</span>"	"<span class=""tone4"">pài</span><!--pai-->"	faction; river branch; send; dispatch; {MW} political groups, schools of thought, etc.	"<span class=""tone4"">派</span><span class=""tone2"">别</span>{{c1:: － <span class=""tone4"">pài</span><span class=""tone2"">bié</span> － faction; sect; group}}"	"<span class=""tone4"">派</span><span class=""tone4"">系</span>{{c1:: － <span class=""tone4"">pài</span><span class=""tone4"">xì</span> － faction (in a politcal party)}}"	"<span class=""tone4"">派</span><span class=""tone1"">兵</span>{{c1:: － <span class=""tone4"">pài</span><span class=""tone1"">bīng</span> － dispatch troops}}"	"<span class=""tone4"">右</span><span class=""tone4"">派</span>{{c1:: － <span class=""tone4"">yòu</span><span class=""tone4"">pài</span> － the ""Right""; ""Right Wing""}}"		"国会议员在这个问题上分成两<span class=""highlight"">派</span>。"	The congressmen were divided into two opposing groups over this issue.		[sound:oddcast-ccd46965-7dcbe3bf-8d6f674b-ddad349a-e36eee35.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/27966.gif"" alt=""派""style=""width:75px;height:75px;""/>"	34 CharSet
展	"<span class=""tone3"">展</span>"	"<span class=""tone3"">zhǎn</span><!--zhan-->"	open up; spread out; put to good use; postpone	"<span class=""tone1"">发</span><span class=""tone3"">展</span>{{c1:: － <span class=""tone1"">fā</span><span class=""tone3"">zhǎn</span> － develop (economy, resources, etc)}}"	"<span class=""tone3"">展</span><span class=""tone1"">出</span>{{c1:: － <span class=""tone3"">zhǎn</span><span class=""tone1"">chū</span> － to put on display}}"	"<span class=""tone3"">展</span><span class=""tone1"">开</span>{{c1:: － <span class=""tone3"">zhǎn</span><span class=""tone1"">kāi</span> － spread out; unfold; open up}}"	"<span class=""tone4"">进</span><span class=""tone3"">展</span>{{c1:: － <span class=""tone4"">jìn</span><span class=""tone3"">zhǎn</span> － to make progress}}"		"工作进<span class=""highlight"">展</span>得很顺利。"	Work is progressing smoothly.		[sound:oddcast-0481fdce-416f9ab5-2d25e45d-fa8a33a4-65ddb113.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/23637.gif"" alt=""展""style=""width:75px;height:75px;""/>"	34 CharSet
喂	"<span class=""tone4"">喂</span>"	"<span class=""tone4"">wèi</span><!--wei-->"	hello; hey; to feed (an animal, baby, invalid)	"<span class=""tone4"">喂</span><span class=""tone2"">食</span>{{c1:: － <span class=""tone4"">wèi</span><span class=""tone2"">shí</span> － feed}}"	"<span class=""tone4"">喂</span><span class=""tone3"">奶</span>{{c1:: － <span class=""tone4"">wèi</span><span class=""tone3"">nǎi</span> － breast-feed; suckle; nurse}}"				"<span class=""highlight"">喂</span>，请问，你的妈妈在那里吗？"	Hello, is your mother there?		[sound:oddcast-bb45e4ba-4a150d4d-b60a1552-8b77dc4f-f3e67f95.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21890.gif"" alt=""喂""style=""width:75px;height:75px;""/>"	34 CharSet
候	"<span class=""tone4"">候</span>"	"<span class=""tone4"">hòu</span><!--hou-->"	wait for; time; condition; state	"<span class=""tone2"">时</span><span class=""tone5"">候</span>{{c1:: － <span class=""tone2"">shí</span><span class=""tone5"">hou</span> － duration of time; point in time}}"	"<span class=""tone4"">气</span><span class=""tone4"">候</span>{{c1:: － <span class=""tone4"">qì</span><span class=""tone4"">hòu</span> － climate (lit and fig)}}"	"<span class=""tone4"">问</span><span class=""tone4"">候</span>{{c1:: － <span class=""tone4"">wèn</span><span class=""tone4"">hòu</span> － send one's respects; extend greetings}}"	"<span class=""tone3"">等</span><span class=""tone4"">候</span>{{c1:: － <span class=""tone3"">děng</span><span class=""tone4"">hòu</span> － to wait}}"	"<span class=""tone4"">候</span><span class=""tone3"">选</span>{{c1:: － <span class=""tone4"">hòu</span><span class=""tone3"">xuǎn</span> － candidate}}"	"他亲切地问<span class=""highlight"">候</span>我。"	He sent me his warm regards.		[sound:oddcast-686b4dfd-71f5f097-c442b9b4-7cdbd584-fb4f4c3a.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20505.gif"" alt=""候""style=""width:75px;height:75px;""/>"	34 CharSet
齐	"<span class=""tone2"">齐</span>"	"<span class=""tone2"">qí</span><!--qi-->"	neat; tidy; all together; simultaneous	"<span class=""tone3"">整</span><span class=""tone2"">齐</span>{{c1:: － <span class=""tone3"">zhěng</span><span class=""tone2"">qí</span> － in good order; neat; tidy}}"	"<span class=""tone2"">齐</span><span class=""tone2"">全</span>{{c1:: － <span class=""tone2"">qí</span><span class=""tone2"">quán</span> － complete; all in readiness}}"	"<span class=""tone1"">一</span><span class=""tone2"">齐</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone2"">qí</span> － at the same time; simultaneously}}"			"男女老少<span class=""highlight"">齐</span>上阵。"	Men and women, old and young, all pitched into the work.		[sound:oddcast-edccefd8-fde70bb2-67e050f0-3106a74f-543a7eed.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/40784.gif"" alt=""齐""style=""width:75px;height:75px;""/>"	34 CharSet
挤	"<span class=""tone3"">挤</span>"	"<span class=""tone3"">jǐ</span><!--ji-->"	to squeeze; to crowd/cram in; to press; to find time in a schedule	"<span class=""tone1"">拥</span><span class=""tone3"">挤</span>{{c1:: － <span class=""tone1"">yōng</span><span class=""tone3"">jǐ</span> － to be crowded/packed}}"	"<span class=""tone3"">挤</span><span class=""tone3"">奶</span>{{c1:: － <span class=""tone3"">jǐ</span><span class=""tone3"">nǎi</span> － to milk (a cow)}}"	"<span class=""tone2"">排</span><span class=""tone3"">挤</span>{{c1:: － <span class=""tone2"">pái</span><span class=""tone3"">jǐ</span> － push aside}}"	"<span class=""tone3"">挤</span><span class=""tone3"">满</span>{{c1:: － <span class=""tone3"">jǐ</span><span class=""tone3"">mǎn</span> － filled to overflowing}}"	"<span class=""tone3"">挤</span><span class=""tone4"">进</span>{{c1:: － <span class=""tone3"">jǐ</span><span class=""tone4"">jìn</span> － to force one's way into; to break in}}"	"看台上<span class=""highlight"">挤</span>满了观众。"	Spectators crowded the bleachers.		[sound:oddcast-d3bd9f0f-2ca8a30c-396a7384-db424080-ecd40bca.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25380.gif"" alt=""挤""style=""width:75px;height:75px;""/>"	34 CharSet
济	"<span class=""tone4"">济</span>"	"<span class=""tone4"">jì</span><!--ji-->"	help; aid; relieve; cross (a river, etc.)	"<span class=""tone1"">经</span><span class=""tone4"">济</span>{{c1:: － <span class=""tone1"">jīng</span><span class=""tone4"">jì</span> － economy}}"	"<span class=""tone4"">救</span><span class=""tone4"">济</span>{{c1:: － <span class=""tone4"">jiù</span><span class=""tone4"">jì</span> － extend relief to; relieve the distress of}}"				"联合国对难民进行救<span class=""highlight"">济</span>。"	The United Nations is providing relief to the refugees.		[sound:oddcast-1e5e1b2c-b49cb16a-663dedbb-c7ec7c5f-312c5f86.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/27982.gif"" alt=""济""style=""width:75px;height:75px;""/>"	34 CharSet
黑	"<span class=""tone1"">黑</span>"	"<span class=""tone1"">hēi</span><!--hei-->"	black; dark; secret; shady; wicked	"<span class=""tone1"">黑</span><span class=""tone4"">色</span>{{c1:: － <span class=""tone1"">hēi</span><span class=""tone4"">sè</span> － the colour black}}"	"<span class=""tone1"">黑</span><span class=""tone3"">板</span>{{c1:: － <span class=""tone1"">hēi</span><span class=""tone3"">bǎn</span> － black board}}"	"<span class=""tone1"">黑</span><span class=""tone4"">市</span>{{c1:: － <span class=""tone1"">hēi</span><span class=""tone4"">shì</span> － black market}}"	"<span class=""tone1"">黑</span><span class=""tone2"">白</span>{{c1:: － <span class=""tone1"">hēi</span><span class=""tone2"">bái</span> － black and white; right and wrong}}"		"她的头发很<span class=""highlight"">黑</span>。"	Her hair is very black.		[sound:oddcast-9bc4624e-c6f06d3a-4897214a-faa35fab-8d06eb4b.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/40657.gif"" alt=""黑""style=""width:75px;height:75px;""/>"	34 CharSet
增	"<span class=""tone1"">增</span>"	"<span class=""tone1"">zēng</span><!--zeng-->"	increase; gain; add	"<span class=""tone1"">增</span><span class=""tone1"">加</span>{{c1:: － <span class=""tone1"">zēng</span><span class=""tone1"">jiā</span> － to increase}}"	"<span class=""tone1"">增</span><span class=""tone3"">长</span>{{c1:: － <span class=""tone1"">zēng</span><span class=""tone3"">zhǎng</span> － to grow/increase}}"	"<span class=""tone1"">增</span><span class=""tone2"">强</span>{{c1:: － <span class=""tone1"">zēng</span><span class=""tone2"">qiáng</span> － to strengthen/enhance}}"	"<span class=""tone1"">增</span><span class=""tone3"">产</span>{{c1:: － <span class=""tone1"">zēng</span><span class=""tone3"">chǎn</span> － increase production}}"		"公司的收益<span class=""highlight"">增</span>加了。"	The company's income has increased.		[sound:oddcast-3c30b1fe-e71d037d-96e0919d-b9ccdeb7-b2bddf28.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22686.gif"" alt=""增""style=""width:75px;height:75px;""/>"	34 CharSet
晚	"<span class=""tone3"">晚</span>"	"<span class=""tone3"">wǎn</span><!--wan-->"	evening; night; late	"<span class=""tone3"">晚</span><span class=""tone4"">饭</span>{{c1:: － <span class=""tone3"">wǎn</span><span class=""tone4"">fàn</span> － dinner}}"	"<span class=""tone3"">晚</span><span class=""tone5"">上</span>{{c1:: － <span class=""tone3"">wǎn</span><span class=""tone5"">shang</span> － evening}}"	"<span class=""tone3"">晚</span><span class=""tone4"">会</span>{{c1:: － <span class=""tone3"">wǎn</span><span class=""tone4"">huì</span> － evening party}}"			"朋友们参加了今<span class=""highlight"">晚</span>的舞会。"	My friends went to the dance tonight.		[sound:oddcast-f72782fa-2168cde1-90e149ad-98e5db7f-100ddc3a.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26202.gif"" alt=""晚""style=""width:75px;height:75px;""/>"	34 CharSet
像	"<span class=""tone4"">像</span>"	"<span class=""tone4"">xiàng</span><!--xiang-->"	to resemble; to be like; to look as if; appearance	"<span class=""tone3"">好</span><span class=""tone4"">像</span>{{c1:: － <span class=""tone3"">hǎo</span><span class=""tone4"">xiàng</span> － to seem like}}"	"<span class=""tone3"">想</span><span class=""tone4"">像</span>{{c1:: － <span class=""tone3"">xiǎng</span><span class=""tone4"">xiàng</span> － imagination}}"				"姐妹俩长得很<span class=""highlight"">像</span>。"	The sister look very much alike.		[sound:oddcast-38dff475-5ce246e7-2e8d375e-ab165df7-58544715.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20687.gif"" alt=""像""style=""width:75px;height:75px;""/>"	34 CharSet
换	"<span class=""tone4"">换</span>"	"<span class=""tone4"">huàn</span><!--huan-->"	exchange; trade; change; switch; convert (currency)	"<span class=""tone1"">交</span><span class=""tone4"">换</span>{{c1:: － <span class=""tone1"">jiāo</span><span class=""tone4"">huàn</span> － exchange; swap}}"					"他们互相交<span class=""highlight"">换</span>名片。"	They're exchanging their name cards.		[sound:oddcast-76cd696f-9f02589c-474c6996-40b2f098-fa54c86c.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25442.gif"" alt=""换""style=""width:75px;height:75px;""/>"	34 CharSet
刚	"<span class=""tone1"">刚</span>"	"<span class=""tone1"">gāng</span><!--gang-->"	just (a moment ago); exactly, just, precisely; barely, just	"<span class=""tone1"">刚</span><span class=""tone2"">才</span>{{c1:: － <span class=""tone1"">gāng</span><span class=""tone2"">cái</span> － a short while ago}}"	"<span class=""tone1"">刚</span><span class=""tone5"">刚</span>{{c1:: － <span class=""tone1"">gāng</span><span class=""tone5"">gang</span> － only just; barely}}"				"他<span class=""highlight"">刚</span>离开公司。"	He's just left the office.		[sound:oddcast-a2bce126-79b65bd0-308b2029-d916e59d-276f8fd0.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21018.gif"" alt=""刚""style=""width:75px;height:75px;""/>"	35 CharSet
钢	"<span class=""tone1"">钢</span>"	"<span class=""tone1"">gāng</span><!--gang-->"	steel	"<span class=""tone1"">钢</span><span class=""tone3"">铁</span>{{c1:: － <span class=""tone1"">gāng</span><span class=""tone3"">tiě</span> － steel}}"	"<span class=""tone1"">钢</span><span class=""tone2"">琴</span>{{c1:: － <span class=""tone1"">gāng</span><span class=""tone2"">qín</span> － piano}}"	"<span class=""tone1"">钢</span><span class=""tone3"">板</span>{{c1:: － <span class=""tone1"">gāng</span><span class=""tone3"">bǎn</span> － steel plate}}"			"她在练习弹<span class=""highlight"">钢</span>琴。"	She's practicing the piano.		[sound:oddcast-c1da88bd-27b2f8d1-3caf0a00-e2fa6209-3c593357.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/38050.gif"" alt=""钢""style=""width:75px;height:75px;""/>"	35 CharSet
鸡	"<span class=""tone1"">鸡</span>"	"<span class=""tone1"">jī</span><!--ji-->"	chicken	"<span class=""tone1"">鸡</span><span class=""tone4"">蛋</span>{{c1:: － <span class=""tone1"">jī</span><span class=""tone4"">dàn</span> － chicken egg}}"	"<span class=""tone3"">小</span><span class=""tone1"">鸡</span>{{c1:: － <span class=""tone3"">xiǎo</span><span class=""tone1"">jī</span> － chick}}"				"<span class=""highlight"">鸡</span>蛋破了。"	The egg is broken.		[sound:oddcast-d5094f1f-97328e75-1303678d-1467879b-ec8aaf60.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/40481.gif"" alt=""鸡""style=""width:75px;height:75px;""/>"	35 CharSet
虽	"<span class=""tone1"">虽</span>"	"<span class=""tone1"">suī</span><!--sui-->"	although; even if	"<span class=""tone1"">虽</span><span class=""tone2"">然</span>{{c1:: － <span class=""tone1"">suī</span><span class=""tone2"">rán</span> － although; even though; even if}}"	"<span class=""tone1"">虽</span><span class=""tone4"">是</span>{{c1:: － <span class=""tone1"">suī</span><span class=""tone4"">shì</span> － although; even though; even if}}"	"<span class=""tone1"">虽</span><span class=""tone2"">则</span>{{c1:: － <span class=""tone1"">suī</span><span class=""tone2"">zé</span> － nevertheless; although}}"			"<span class=""highlight"">虽</span>然跑得很累，但是很多人都没有放弃。"	Though exhausted from running, many refused to give up.		[sound:oddcast-ee9c6932-5faba53c-70997f63-a172a245-2f798e58.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/34429.gif"" alt=""虽""style=""width:75px;height:75px;""/>"	35 CharSet
般	"<span class=""tone1"">般</span>"	"<span class=""tone1"">bān</span><!--ban-->"	sort; kind	"<span class=""tone4"">这</span><span class=""tone1"">般</span>{{c1:: － <span class=""tone4"">zhè</span><span class=""tone1"">bān</span> － like this; this way}}"	"<span class=""tone1"">一</span><span class=""tone1"">般</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone1"">bān</span> － commonplace; generally}}"	"<span class=""tone3"">百</span><span class=""tone1"">般</span>{{c1:: － <span class=""tone3"">bǎi</span><span class=""tone1"">bān</span> － in a hundred and one ways; in every way possible}}"	"<span class=""tone1"">一</span><span class=""tone1"">般</span><span class=""tone2"">来</span><span class=""tone1"">说</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone1"">bān</span><span class=""tone2"">lái</span><span class=""tone1"">shuō</span> － generally speaking}}"		"她像花一<span class=""highlight"">般</span>美丽。"	She is as beautiful as a flower.		[sound:oddcast-7c679013-e7d226c5-829deca0-98ad9ccf-60fc65b3.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/33324.gif"" alt=""般""style=""width:75px;height:75px;""/>"	35 CharSet
搬	"<span class=""tone1"">搬</span>"	"<span class=""tone1"">bān</span><!--ban-->"	to move (houses)	"<span class=""tone1"">搬</span><span class=""tone1"">家</span>{{c1:: － <span class=""tone1"">bān</span><span class=""tone1"">jiā</span> － to move house}}"	"<span class=""tone1"">搬</span><span class=""tone1"">出</span><span class=""tone4"">去</span>{{c1:: － <span class=""tone1"">bān</span><span class=""tone1"">chū</span><span class=""tone4"">qù</span> － to move out; vacate}}"	"<span class=""tone1"">搬</span><span class=""tone4"">运</span>{{c1:: － <span class=""tone1"">bān</span><span class=""tone4"">yùn</span> － freight; transport; portage}}"			"如果是那样，也许你得<span class=""highlight"">搬</span>家 。"	If that's the problem, maybe you should move.		[sound:oddcast-e3716322-5c5f7151-f08afe40-f687cf2f-cde0c307.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25644.gif"" alt=""搬""style=""width:75px;height:75px;""/>"	35 CharSet
迎	"<span class=""tone2"">迎</span>"	"<span class=""tone2"">yíng</span><!--ying-->"	welcome; receive; meet; greet	"<span class=""tone1"">欢</span><span class=""tone2"">迎</span>{{c1:: － <span class=""tone1"">huān</span><span class=""tone2"">yíng</span> － welcome}}"	"<span class=""tone2"">迎</span><span class=""tone1"">接</span>{{c1:: － <span class=""tone2"">yíng</span><span class=""tone1"">jiē</span> － to meet; greet}}"				"女儿向我<span class=""highlight"">迎</span>面走来。"	My daughter walked towards me head-on.		[sound:oddcast-81e19062-06f96984-6432d7c0-962cd048-8fc636ff.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/36814.gif"" alt=""迎""style=""width:75px;height:75px;""/>"	35 CharSet
纸	"<span class=""tone3"">纸</span>"	"<span class=""tone3"">zhǐ</span><!--zhi-->"	paper	"<span class=""tone4"">报</span><span class=""tone3"">纸</span>{{c1:: － <span class=""tone4"">bào</span><span class=""tone3"">zhǐ</span> － newspaper}}"	"<span class=""tone3"">纸</span><span class=""tone2"">条</span>{{c1:: － <span class=""tone3"">zhǐ</span><span class=""tone2"">tiáo</span> － slip of paper}}"	"<span class=""tone2"">图</span><span class=""tone3"">纸</span>{{c1:: － <span class=""tone2"">tú</span><span class=""tone3"">zhǐ</span> － blueprint; drawing; design plans}}"	"<span class=""tone3"">纸</span><span class=""tone1"">箱</span>{{c1:: － <span class=""tone3"">zhǐ</span><span class=""tone1"">xiāng</span> － carton; carboard box}}"		"他在看报<span class=""highlight"">纸</span>。"	He's reading a newspaper.		[sound:oddcast-eea8b2a8-030cfe96-073a62b5-52ea87d5-81114101.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/32440.gif"" alt=""纸""style=""width:75px;height:75px;""/>"	35 CharSet
低	"<span class=""tone1"">低</span>"	"<span class=""tone1"">dī</span><!--di-->"	low	"<span class=""tone1"">低</span><span class=""tone4"">调</span>{{c1:: － <span class=""tone1"">dī</span><span class=""tone4"">diào</span> － low-key}}"	"<span class=""tone4"">降</span><span class=""tone1"">低</span>{{c1:: － <span class=""tone4"">jiàng</span><span class=""tone1"">dī</span> － to reduce; to lower; to bring down}}"	"<span class=""tone1"">高</span><span class=""tone1"">低</span>{{c1:: － <span class=""tone1"">gāo</span><span class=""tone1"">dī</span> － height; altitude; pitch}}"	"<span class=""tone1"">低</span><span class=""tone1"">压</span>{{c1:: － <span class=""tone1"">dī</span><span class=""tone1"">yā</span> － low pressure/voltage}}"		"鸟飞得很<span class=""highlight"">低</span>。"	The bird is flying very low.		[sound:oddcast-29eb13a9-a3f69e1b-62db9ac6-82bf46d0-87e358e9.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20302.gif"" alt=""低"" style=""width:75px;height:75px;"">"	35 CharSet
永	"<span class=""tone3"">永</span>"	"<span class=""tone3"">yǒng</span><!--yong-->"	forever; always; perpetually; permanently	"<span class=""tone3"">永</span><span class=""tone3"">远</span>{{c1:: － <span class=""tone3"">yǒng</span><span class=""tone3"">yuǎn</span> － forever; eternal}}"	"<span class=""tone3"">永</span><span class=""tone4"">不</span>{{c1:: － <span class=""tone3"">yǒng</span><span class=""tone4"">bù</span> － never; will never}}"	"<span class=""tone3"">永</span><span class=""tone3"">久</span>{{c1:: － <span class=""tone3"">yǒng</span><span class=""tone3"">jiǔ</span> － everlasting; perpetual}}"			"钻石代表着<span class=""highlight"">永</span>恒的爱。"	Diamonds represents eternal love.		[sound:oddcast-a3f1f045-86adda29-a3f42736-a8a05c5b-073dc05e.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/27704.gif"" alt=""永""style=""width:75px;height:75px;""/>"	35 CharSet
泳	"<span class=""tone3"">泳</span>"	"<span class=""tone3"">yǒng</span><!--yong-->"	swim	"<span class=""tone2"">游</span><span class=""tone3"">泳</span>{{c1:: － <span class=""tone2"">yóu</span><span class=""tone3"">yǒng</span> － to swim; swimming}}"	"<span class=""tone3"">泳</span><span class=""tone1"">装</span>{{c1:: － <span class=""tone3"">yǒng</span><span class=""tone1"">zhuāng</span> － swimsuit}}"	"<span class=""tone2"">游</span><span class=""tone3"">泳</span><span class=""tone2"">池</span>{{c1:: － <span class=""tone2"">yóu</span><span class=""tone3"">yǒng</span><span class=""tone2"">chí</span> － swimming pool}}"			"游<span class=""highlight"">泳</span>是她的专长。"	Swimming is her specialty.		[sound:oddcast-1f057a27-ce81dbcc-54b20dd4-106bfd94-3fc3a6d6.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/27891.gif"" alt=""泳""style=""width:75px;height:75px;""/>"	35 CharSet
族	"<span class=""tone2"">族</span>"	"<span class=""tone2"">zú</span><!--zu-->"	race; nationality; ethnic group; people; tribe	"<span class=""tone2"">民</span><span class=""tone2"">族</span>{{c1:: － <span class=""tone2"">mín</span><span class=""tone2"">zú</span> － nationality; ethnic group}}"	"<span class=""tone1"">家</span><span class=""tone2"">族</span>{{c1:: － <span class=""tone1"">jiā</span><span class=""tone2"">zú</span> － family; clan}}"	"<span class=""tone1"">一</span><span class=""tone2"">族</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone2"">zú</span> － social group; subculture}}"	"<span class=""tone2"">民</span><span class=""tone2"">族</span><span class=""tone2"">团</span><span class=""tone2"">结</span>{{c1:: － <span class=""tone2"">mín</span><span class=""tone2"">zú</span><span class=""tone2"">tuán</span><span class=""tone2"">jié</span> － national unity}}"		"她是少数民<span class=""highlight"">族</span>。"	She is an ethnic minority.		[sound:oddcast-274b2d5a-97c6869e-6f090ca9-8e86e435-af4b5a9f.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26063.gif"" alt=""族""style=""width:75px;height:75px;""/>"	35 CharSet
游	"<span class=""tone2"">游</span>"	"<span class=""tone2"">yóu</span><!--you-->"	to tour; to swim	"<span class=""tone2"">游</span><span class=""tone4"">客</span>{{c1:: － <span class=""tone2"">yóu</span><span class=""tone4"">kè</span> － tourist}}"	"<span class=""tone3"">导</span><span class=""tone2"">游</span>{{c1:: － <span class=""tone3"">dǎo</span><span class=""tone2"">yóu</span> － tour guide}}"	"<span class=""tone3"">旅</span><span class=""tone2"">游</span>{{c1:: － <span class=""tone3"">lǚ</span><span class=""tone2"">yóu</span> － trip; journey; tourism}}"			"导<span class=""highlight"">游</span>领着我们往前走。"	The tour guide takes us ahead.		[sound:oddcast-eef3f7df-e08c272c-0c8b067d-99c96b84-15206a3a.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/28216.gif"" alt=""游""style=""width:75px;height:75px;""/>"	35 CharSet
冬	"<span class=""tone1"">冬</span>"	"<span class=""tone1"">dōng</span><!--dong-->"	winter	"<span class=""tone1"">冬</span><span class=""tone1"">天</span>{{c1:: － <span class=""tone1"">dōng</span><span class=""tone1"">tiān</span> － winter}}"	"<span class=""tone2"">寒</span><span class=""tone1"">冬</span>{{c1:: － <span class=""tone2"">hán</span><span class=""tone1"">dōng</span> － wintery}}"				"<span class=""highlight"">冬</span>天来了。。。"	"Winter is coming...<br /><img src=""winter.png"" />"		[sound:oddcast-5b1807f6-19b69eff-5737b48f-fcc4af98-3894b037.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20908.gif"" alt=""冬""style=""width:75px;height:75px;""/>"	35 CharSet
